ID,Major_Genre,Title,Subgenre,Premiere Date,Premiere_Year,Status,Min_Length,Max_Length,Seasons,Episodes,IMDB_Rating
1,Drama,House of Cards,Political drama,01-Feb-13,2013,Pending,42,59,5,65,90
2,Drama,Hemlock Grove,Horror/thriller,19-Apr-13,2013,Ended,45,58,3,33,72
3,Comedy,Arrested Development (season 4),Comedy,26-May-13,2013,Renewed,28,37,1,15,89
4,Drama,Orange Is the New Black,Comedy-drama,11-Jul-13,2013,Renewed,51,92,5,65,83
5,Comedy,Russell Peters vs. the World,Docu-Series,03-Oct-13,2013,Ended,26,29,1,4,60
6,Family Animation,Ever After High,Animation,15-Dec-13,2013,Pending,23,45,4,16,81
7,Family Animation,Turbo FAST,Animation,24-Dec-13,2013,Ended,23,23,3,52,71
8,Animation,Star Wars: The Clone Wars (season 6),Animation,07-Mar-14,2014,Ended,22,22,1,13,80
9,Drama,The Killing (season 4),Crime drama,01-Aug-14,2014,Ended,54,60,1,6,77
10,Comedy,BoJack Horseman,Adult Animation,22-Aug-14,2014,Renewed,25,26,3,36,84
11,Comedy,"Trailer Park Boys (seasons 8, 9, 10 and 11)",Mockumentary,05-Sep-14,2014,Pending,22,32,4,40,85
12,Family Animation,VeggieTales in the House,Animation,26-Nov-14,2014,Ended,23,23,4,52,50
13,Drama,Marco Polo,Historical drama,12-Dec-14,2014,Ended,48,65,2,20,81
14,Family Animation,All Hail King Julien,Animation,19-Dec-14,2014,Ended,23,23,4,52,75
15,Family Animation,The Adventures of Puss in Boots,Animation,16-Jan-15,2015,Pending,22,22,4,52,69
16,Family Live Action,Richie Rich,Sitcom,20-Feb-15,2015,Ended,21,23,2,21,41
17,Comedy,Unbreakable Kimmy Schmidt,Comedy,06-Mar-15,2015,Pending,23,36,3,39,79
18,Drama,Bloodline,Thriller,20-Mar-15,2015,Ended,48,68,3,33,82
19,Marvel,Marvel's Daredevil,Crime drama/legal drama,10-Apr-15,2015,Renewed,48,59,2,26,87
20,Docu-Series,Chef's Table,Culinary art,26-Apr-15,2015,Pending,42,58,3,18,87
21,Comedy,Grace and Frankie,Comedy-drama,08-May-15,2015,Renewed,25,35,3,39,82
22,Drama,Sense8,Science fiction,05-Jun-15,2015,Ended,12,45,2,23,84
23,Family Animation,"DreamWorks Dragons (seasons 3, 4, 5 and 6)",Animation,26-Jun-15,2015,Pending,22,23,4,52,85
24,Comedy,Wet Hot American Summer: First Day of Camp,Satirical comedy,31-Jul-15,2015,NA,27,30,1,8,75
25,Family Live Action,Project Mc2,Comedy/educational,07-Aug-15,2015,Renewed,22,29,3,15,62
26,Foreign Language,Club de Cuervos,Comedy-drama,07-Aug-15,2015,Renewed,36,47,2,23,81
27,Family Animation,Dinotrux,Animation,14-Aug-15,2015,Pending,22,22,4,46,76
28,Drama,Narcos,Crime drama,28-Aug-15,2015,Renewed,43,57,2,20,89
29,Drama,Longmire (seasons 4 and 5),Crime drama,10-Sep-15,2015,Renewed,55,71,2,20,83
30,Family Animation,The Mr. Peabody & Sherman Show,Animation,09-Oct-15,2015,Renewed,23,23,4,52,61
31,Family Animation,Popples,Animation,30-Oct-15,2015,Ended,24,24,3,26,66
32,Comedy,Master of None,Comedy-drama,06-Nov-15,2015,Pending,21,57,2,20,83
33,Family Animation,Care Bears & Cousins,Animation,06-Nov-15,2015,Ended,22,22,2,12,74
34,Comedy,W/ Bob & David,Sketch comedy,13-Nov-15,2015,Ended,27,33,1,5,76
35,Marvel,Marvel's Jessica Jones,Neo-noir/psychological thriller,20-Nov-15,2015,Renewed,46,55,1,13,82
36,Comedy,F Is for Family,Sitcom,18-Dec-15,2015,Pending,25,28,2,16,79
37,Docu-Series,Making a Murderer,Crime drama,18-Dec-15,2015,Renewed,47,66,1,10,88
38,Family Animation,Dawn of the Croods,Animation,24-Dec-15,2015,Pending,23,23,3,39,61
39,Docu-Series,Chelsea Does,Comedy,23-Jan-16,2016,Ended,62,74,1,4,75
40,Comedy,Love,Romantic comedy,19-Feb-16,2016,Renewed,27,40,2,22,78
41,Docu-Series,Cooked,Culinary art,19-Feb-16,2016,Ended,50,58,1,4,82
42,Comedy,Fuller House,Sitcom,26-Feb-16,2016,Renewed,25,36,2,26,71
43,Family Animation,Lego Bionicle: The Journey to One,Animation,04-Mar-16,2016,Ended,22,22,2,5,71
44,Family Animation,Lego Friends: The Power of Friendship,Animation,04-Mar-16,2016,Ended,22,22,2,4,65
45,Comedy,Flaked,Comedy,11-Mar-16,2016,Pending,30,34,2,14,72
46,Comedy,Netflix Presents: The Characters,Sketch comedy,11-Mar-16,2016,Ended,27,38,1,8,53
47,Comedy,The Ranch,Sitcom,01-Apr-16,2016,Ongoing,28,34,1,20,76
48,Family Animation,Kong: King of the Apes,Animation,15-Apr-16,2016,Renewed,22,85,1,13,64
49,Foreign Language,Marseille,Political drama,05-May-16,2016,Renewed,35,44,1,8,69
